adjusted_date,mean_pos_sentiment,mean_neg_sentiment,mean_neutral_sentiment,mean_pos_preamble_sentiment,mean_neg_preamble_sentiment,mean_neutral_preamble_sentiment,News
2021-08-10,0.12948581,0.140803032,0.729711185,0.115988305,0.03249381875,0.8515178750000001,Tesla
2022-08-10,0.481374599,0.1328747815,0.38575065,0.4670514015,0.076626835,0.45632174,Tesla
2022-09-10,0.057080228,0.095195904,0.8477239,0.03927597,0.0723164,0.88840765,Tesla
2019-10-11,0.089828675,0.4788993824999999,0.431271917,0.075490889,0.47374349,0.4507656475,Tesla
2020-11-11,0.07319432,0.47197506,0.45483065,0.064554505,0.42944622,0.50599927,Tesla
2021-11-11,0.1342205783333333,0.3078642806666666,0.5579151433333334,0.111162021,0.193032269,0.69580573,Tesla
2022-11-11,0.0129716813333333,0.9289428733333334,0.0580854476666666,0.0105605661666666,0.9293791333333332,0.0600602916666666,Tesla
2021-12-11,0.5258791,0.010857397,0.46326342,0.41323137,0.010756687,0.57601196,Tesla
2022-02-11,0.034092788,0.863159,0.10274818,0.032014504,0.8550444,0.11294105,Tesla
2023-02-11,0.13900623,0.72948414,0.13150968,0.038609054,0.87827533,0.08311558,Tesla
2021-03-11,0.03953607,0.78703856,0.1734254,0.09022065,0.5139019,0.3958774,Tesla
2022-03-11,0.012795879,0.9682156,0.018988607,0.009363988,0.96884847,0.021787565,Tesla
2024-03-11,0.016032536,0.92403877,0.059928667,0.020578418,0.8923428,0.08707876,Tesla
2022-04-11,0.0535370624999999,0.0193692345,0.927093675,0.0473731765,0.016145121,0.93648175,Tesla
2023-04-11,0.011805572,0.92763704,0.060557354,0.012726665,0.93917185,0.048101414,Tesla
2024-04-11,0.022365944,0.9384085,0.039225556,0.050113957,0.885439,0.064447165,Tesla
2020-05-11,0.046118567,0.3989288346666667,0.5549526053333333,0.031376281,0.2460607689999999,0.7225629433333335,Tesla
2022-05-11,0.041972615,0.29914784,0.6588796,0.038996354,0.21105501,0.7499486,Tesla
2023-05-11,0.13881621,0.14917728,0.71200645,0.19446751,0.063364,0.7421685,Tesla
2024-05-11,0.037267607,0.22344235,0.7392901,0.030431064,0.15780447,0.8117644,Tesla
2023-06-11,0.042217597,0.0651767,0.8926058,0.036238406,0.047133617,0.916628,Tesla
2024-06-11,0.49388027,0.012569127,0.49355063,0.4454602,0.0111881755,0.54335165,Tesla
2024-07-11,0.0608616285,0.4728361205,0.466302265,0.0468205275,0.461760713,0.491418735,Tesla
2021-08-11,0.035704277,0.043073222,0.9212225,0.024510773,0.03473852,0.94075066,Tesla
2023-09-11,0.4553950049999999,0.179790915,0.364814025,0.4487718475,0.16226224625,0.38896589,Tesla
2024-09-11,0.07493721,0.021561872,0.903501,0.07886359,0.015694095,0.9054423,Tesla
2021-01-12,0.03733271,0.03789857,0.92476875,0.02800453,0.032629695,0.9393658,Tesla
2023-01-12,0.07023197,0.026954567,0.9028135,0.05337783,0.03221501,0.9144071,Tesla
2024-01-12,0.1129428925,0.5200896856666667,0.3669674069999999,0.10272099,0.4897642995,0.4075147056666666,Tesla
2023-10-12,0.1494221,0.010875319,0.8397026,0.18488315,0.011030982,0.80408585,Tesla
2021-11-12,0.3230473,0.3641535,0.31279922,0.3918769,0.30623278,0.30189028,Tesla
2023-11-12,0.02363193,0.40655574,0.5698123,0.024998978,0.26993805,0.705063,Tesla
2019-12-12,0.04853004,0.029030737,0.9224392,0.046090707,0.028577931,0.92533135,Tesla
2023-12-12,0.1135252024999999,0.476471494,0.410003285,0.075202714,0.47238031,0.4524169575,Tesla
