,omega,alpha,beta,gamma,x,sample,omega_wo_exo,alpha_wo_exo,beta_wo_exo,omega_with_exo,alpha_with_exo,beta_with_exo,gamma_with_exo,without_exo_MSE,with_exo_MSE,without_exo_logll,with_exo_logll,without_exo_opt_suc,with_exo_opt_suc
50,0.1,0.1,0.2,0.1,"[[], []]",0,0.22185194980348438,0.15204101782612262,0.04631528189108639,0.08760644792292349,0.13180561171893193,0.17180771147940316,0.10757340265108763,0.019664821715523195,0.000809811782278228,-917.9109111900644,-847.1758480881273,True,True
51,0.1,0.1,0.2,0.1,"[[], []]",1,0.1981639047476261,0.17618743302585216,0.1433364181719647,0.08515438918422644,0.11788922840377736,0.3016654204253409,0.08773789030688002,0.02231137866671375,0.0011922037291009723,-946.2590838997548,-908.1920474922457,True,True
52,0.1,0.1,0.2,0.1,"[[], []]",2,0.18920844667850167,0.1581352798270044,0.19035931666019837,0.12334731443383333,0.15038641718425874,0.05114195700382279,0.1066543474890634,0.023111663628251657,0.001253045270302702,-945.2751120462542,-877.8752403910861,True,True
53,0.1,0.1,0.2,0.1,"[[], []]",3,0.15802009963941208,0.11829720005933704,0.31554743549325565,0.10774436641964608,0.1163368850823517,0.20667323640792704,0.0778106632348879,0.021622976210668957,0.0016314555518257379,-926.9416566793302,-884.1110746166925,True,True
54,0.1,0.1,0.2,0.1,"[[], []]",4,0.09150980023705907,0.05911950678605798,0.5795481524966082,0.06374871418570453,0.06388667808883143,0.3244210584272008,0.10111262906848147,0.019152460543778352,0.0012113239484433413,-875.6259206163331,-820.4435980299734,True,True
55,0.1,0.1,0.2,0.1,"[[], []]",5,0.18351379106321403,0.2482811132126544,0.1434503999664373,0.1248695820820968,0.1180780206090759,0.09229821301069828,0.10018454669006135,0.029260458139893853,0.0007519294733742957,-943.9446149251756,-882.042868985196,True,True
56,0.1,0.1,0.2,0.1,"[[], []]",6,0.20595009720911445,0.043984734940937804,0.16095541490230866,0.11980542176538166,0.022976963502108604,0.19522500676770022,0.09038530826818661,0.018935464054100418,0.001969131798487577,-891.2076510784216,-846.7650081205273,True,True
57,0.1,0.1,0.2,0.1,"[[], []]",7,0.2690441311636344,0.06280480340837281,0.00014243383598206628,0.14504549425360208,0.06202048154542436,0.055014540977790495,0.10935234886582963,0.019598050414030458,0.0019961210716005697,-950.8586730835253,-887.318305443157,True,True
58,0.1,0.1,0.2,0.1,"[[], []]",8,0.20779558019546324,0.07237494208772703,0.18628978594826007,0.091495094702413,0.04192413618844815,0.32654264923941306,0.08187050411778314,0.022716876335036343,0.002000831431099923,-936.4820928332417,-887.5466294801969,True,True
59,0.1,0.1,0.2,0.1,"[[], []]",9,0.22314488340835612,0.17122217302403472,0.10393625063054193,0.12113703652991055,0.09208689420933688,0.09498845626381727,0.12448087780317581,0.02158663166897229,0.0020304669321083045,-976.0338194051268,-912.10940026279,True,True
60,0.1,0.1,0.2,0.1,"[[], []]",10,0.04592104479328618,0.029082662103378835,0.7947636918959435,0.11469398509644217,0.05561144806841424,0.14749104592717535,0.09955984771513736,0.019957397680870834,0.0012579085030590357,-893.7141564994836,-832.1610880928117,True,True
61,0.1,0.1,0.2,0.1,"[[], []]",11,0.25813873954041505,0.129946923429019,0.00044875709411633716,0.0995082316922326,0.09104051090459114,0.2467566641008928,0.0948814080023856,0.020237971834172162,0.0005555184053669105,-965.096157466435,-916.9898212792843,True,True
62,0.1,0.1,0.2,0.1,"[[], []]",12,0.23047205200027518,0.15108087416213214,0.012512313663084935,0.0833728432384362,0.09138407279775743,0.2678281657487403,0.09040481309851406,0.023103954557551876,0.0008975351507888566,-916.0359245126009,-863.8671404623564,True,True
