,omega,alpha,beta,gamma,x,sample,omega_wo_exo,alpha_wo_exo,beta_wo_exo,omega_with_exo,alpha_with_exo,beta_with_exo,gamma_with_exo,without_exo_MSE,with_exo_MSE,without_exo_logll,with_exo_logll,without_exo_opt_suc,with_exo_opt_suc
0,0,0.08,0.85,2.8,"[[0.04], []]",0,3.5711139483477052,0.10287027490832644,0.791889320959188,0.1857502423197716,0.08135310807776033,0.8288355488702357,3.038258856821889,52.50038808287754,7.628653625181305,-3790.576736271419,-3777.251716162204,True,True
1,0,0.08,0.85,2.8,"[[0.04], []]",1,1.2264352435405987,0.07372081548201719,0.8979804484989027,1.570719563032648e-05,0.07602864157558005,0.861016863780811,2.7596112347299644,78.86026962005624,9.382901286018543,-3922.1358557575145,-3906.3362244994078,True,True
2,0,0.08,0.85,2.8,"[[0.04], []]",2,3.3169233241912286,0.12372218678077462,0.7924632246075927,0.20285196939830943,0.09731987227442515,0.8393769772784062,2.3676634506624517,70.34915322723451,10.383708026635887,-3864.707491229715,-3857.397427661673,True,True
3,0,0.08,0.85,2.8,"[[0.04], []]",3,2.690611995111699,0.11119965608009949,0.8228089430912948,2.21221224012124e-05,0.1060237553578169,0.8232046948260711,2.8970961771443235,65.16797052078934,14.278415665913583,-3890.2083563336523,-3876.878434056543,True,True
4,0,0.08,0.85,2.8,"[[0.04], []]",4,1.92387988820926,0.08672948227672628,0.8523974175849253,2.5380672101567724e-06,0.06379335332210045,0.8457302915472987,3.0152913710065232,60.31201785262982,16.47991926323366,-3741.8867590278855,-3723.568321607204,True,True
5,0,0.08,0.85,2.8,"[[0.04], []]",5,2.465175187409321,0.12707086327328987,0.8113330718847547,0.3272662857699513,0.10643565575396091,0.8319282054291894,2.221384568855716,72.59468232579884,18.58150205987769,-3861.130082711198,-3853.178501613293,True,True
6,0,0.08,0.85,2.8,"[[0.04], []]",6,1.7898671242277873,0.055494242513736046,0.8907746331291002,3.6349582042218174e-05,0.04564317861032043,0.8751482771123645,2.9117395845239673,58.91289026066211,17.902225306348093,-3789.5010505831588,-3773.407722546147,True,True
7,0,0.08,0.85,2.8,"[[0.04], []]",7,1.7059590070879318,0.05932314779585577,0.8945494569733565,0.18374088401061367,0.05664091703286662,0.8950759628585716,1.7547840953481872,68.58461195992108,16.88373651610295,-3857.514881936242,-3849.367263695545,True,True
8,0,0.08,0.85,2.8,"[[0.04], []]",8,2.4437613729656964,0.07632769147958418,0.8620124609899567,0.39726575971061867,0.06469865767783539,0.8484986620870825,2.9399777213986478,57.66734697726109,12.22703156251585,-3876.436102172607,-3864.160765754859,True,True
9,0,0.08,0.85,2.8,"[[0.04], []]",9,2.2173468652689734,0.09107648175140245,0.8572604965284392,9.913710783419345e-05,0.07181180696248429,0.8689770751530651,2.463099623927871,66.33135844651808,8.210279735001514,-3912.964191450066,-3898.3581615103585,True,True
