adjusted_date,mean_pos_sentiment,mean_neg_sentiment,mean_neutral_sentiment,mean_pos_preamble_sentiment,mean_neg_preamble_sentiment,mean_neutral_preamble_sentiment
15/7/20,0.0284526245,0.52095914,0.45058825799999996,0.0273072145,0.510851392,0.46184142850000004
15/7/21,0.02558114,0.73535526,0.2390636,0.03958801,0.68803036,0.27238163
15/7/23,0.020128215,0.8015268,0.1783449,0.036212325,0.56371427,0.40007338
15/7/24,0.08436955,0.44608262,0.4695478,0.071490996,0.20429458,0.72421443
15/8/23,0.008839117,0.9376058,0.053555083,0.009347075,0.9255993,0.06505362
15/8/24,0.06728766,0.016104242,0.91660815,0.061910003,0.014741439,0.9233486
15/9/23,0.022340455,0.8213180533333334,0.1563415016666667,0.027623866666666663,0.6876294266666667,0.28474671300000004
16/1/24,0.055498376,0.09620873,0.8482929,0.040988155,0.09245321,0.8665586
16/10/23,0.04560817,0.69876295,0.2556289,0.04332784,0.66506004,0.29161212
16/11/20,0.032269247,0.07314062,0.8945902,0.026831845,0.045944527,0.9272236
16/11/21,0.0245360265,0.68838988,0.287074097,0.02707692,0.57568051,0.3972425225
16/11/22,0.1262393345,0.4774232225,0.39633746999999997,0.05744594,0.43835726399999997,0.504196785
16/11/23,0.38291254249999995,0.49072096249999997,0.1263664555,0.413262064,0.484208732,0.10252921000000001
16/12/19,0.12281448,0.74735534,0.12983012,0.099322386,0.6803192,0.22035834
16/12/21,0.049866706000000004,0.024863016,0.92527023,0.052641645,0.0287567915,0.9186016
16/12/22,0.0100578135,0.941099575,0.048842634999999995,0.010779427000000001,0.9442591499999999,0.044961373
16/12/23,0.022341661,0.91781026,0.059848145,0.014766962,0.9384448,0.04678812
16/2/21,0.13255395,0.019203449,0.84824264,0.12042798,0.018253885,0.8613181
16/2/23,0.120222646,0.7839743800000001,0.0958029965,0.0288087495,0.9080175749999999,0.063173681
16/2/24,0.013143101,0.9188972,0.0679597,0.013761978,0.9104305,0.07580764
16/3/21,0.235371665,0.443759554,0.320868805,0.181864561,0.464341015,0.35379442
16/3/24,0.05276031,0.85930216,0.087937586,0.0442212,0.88048965,0.07528916
16/4/20,0.04404376,0.077652514,0.87830377,0.034750137,0.04638345,0.9188664
16/4/21,0.1410557775,0.20748582,0.6514583199999999,0.0936368915,0.175452245,0.73091093
